"","game.id","week","w.id","w.conference","w.name","w.abbrvs","w.rank","w.pts","location","l.pts","l.rank","l.abbrvs","l.name","l.conference","l.id"
"560",213,3,193,"Pac-12","Washington","WASH",26,52,"",13,26,"PORTST","Portland State","FCS",134
"307",214,3,196,"Big 12","West Virginia","WV",9,42,"",12,26,"JAMES","James Madison","FCS",73
"329",215,3,199,"Sun Belt","Western Kentucky","WKU",26,32,"@",31,26,"UK","Kentucky","Southeastern",77
"755",216,3,202,"Big Ten","Wisconsin","WIS",26,16,"",14,26,"UTST","Utah State","Western Athletic",185
"112",217,4,76,"Mid-American","Kent State","KENT",26,23,"@",7,26,"BUF","Buffalo","Mid-American",22
"105",218,4,18,"Mountain West","Boise State","BST",24,7,"",6,26,"BYU","Brigham Young","Independent",21
"348",219,4,16,"Big 12","Baylor","BAY",26,47,"@",42,26,"LA-M","Louisiana-Monroe","Sun Belt",83
"206",220,4,3,"Southeastern","Alabama","BAMA",1,40,"",7,26,"FAU","Florida Atlantic","Sun Belt",48
"752",221,4,9,"Pac-12","Arizona State","ASU",26,37,"",7,26,"UTAH","Utah","Pac-12",184
"30",222,4,11,"Sun Belt","Arkansas State","ARKST",26,56,"",0,26,"ALCORN","Alcorn State","FCS",6
"611",223,4,15,"Mid-American","Ball State","BALL",26,31,"",27,26,"SFU","South Florida","Big East",152
"289",224,4,28,"Mid-American","Central Michigan","CMU",26,32,"@",31,26,"IOWA","Iowa","Big Ten",69
"797",225,4,35,"Pac-12","Colorado","COL",26,35,"@",34,26,"WSU","Washington State","Pac-12",194
"386",226,4,39,"Atlantic Coast","Duke","DUKE",26,38,"",14,26,"MEM","Memphis","Conference USA",90
"330",227,4,46,"Southeastern","Florida","UF",14,38,"",0,26,"UK","Kentucky","Southeastern",77
"142",228,4,50,"Atlantic Coast","Florida State","FSU",4,49,"",37,10,"CLEM","Clemson","Atlantic Coast",33
"757",229,4,55,"Southeastern","Georgia","UGA",5,48,"",3,26,"VAN","Vanderbilt","Southeastern",186
"538",230,4,75,"Big 12","Kansas State","KSU",15,24,"@",19,6,"OU","Oklahoma","Big 12",128
"70",231,4,80,"Southeastern","Louisiana State","LSU",2,12,"@",10,26,"AUB","Auburn","Southeastern",13
"272",232,4,81,"Western Athletic","Louisiana Tech","LTU",26,52,"@",24,26,"IL","Illinois","Big Ten",65
"211",233,4,84,"Big East","Louisville","LOU",20,28,"@",21,26,"FIU","Florida International","Sun Belt",49
"571",234,4,86,"Conference USA","Marshall","MAR ",26,54,"@",51,26,"RICE","Rice","Conference USA",138
"236",235,4,91,"Atlantic Coast","Miami FL","MIA",26,42,"@",36,26,"GT","Georgia Tech","Atlantic Coast",58
"376",236,4,92,"Mid-American","Miami OH","MIA-O",26,27,"",16,26,"UMASS","Massachusetts","Mid-American",88
"188",237,4,94,"Big Ten","Michigan State","MSU",21,23,"",7,26,"EMU","Eastern Michigan","Mid-American",43
"657",238,4,96,"Big Ten","Minnesota","MINN",26,17,"",10,26,"SYR","Syracuse","Big East",164
"731",239,4,97,"Southeastern","Mississippi","OLE",26,39,"",0,26,"TULA","Tulane","Conference USA",181
"602",240,4,98,"Southeastern","Mississippi State","MISS ST",23,30,"",10,26,"SOBAMA","South Alabama","Sun Belt",147
"770",241,4,103,"Independent","Navy","NAVY",26,41,"",3,26,"VMI","Virginia Military Institute","FCS",189
"269",242,4,104,"Big Ten","Nebraska","NEB",25,73,"",7,26,"IDST","Idaho State","FCS",64
"243",243,4,105,"Mountain West","Nevada","NEV",26,69,"@",24,26,"HAW","Hawaii","Mountain West",60
"2",244,4,106,"Mountain West","Nevada-Las Vegas","UNLV",26,38,"",35,26,"AF","Air Force","Mountain West",1
"489",245,4,108,"Mountain West","New Mexico","NM",26,27,"@",14,26,"NMSU","New Mexico State","Western Athletic",109
"182",246,4,112,"Atlantic Coast","North Carolina","UNC",26,27,"",6,26,"ECU","East Carolina","Conference USA",40
"140",247,4,114,"Atlantic Coast","North Carolina State","NCST",26,52,"",14,26,"CIT","Citadel","FCS",32
"316",248,4,120,"Mid-American","Northern Illinois","NIU",26,30,"",23,26,"KU","Kansas","Big 12",74
"609",249,4,122,"Big Ten","Northwestern","NU",26,38,"",7,26,"USD","South Dakota","FCS",150
"406",250,4,125,"Independent","Notre Dame","ND",11,13,"",6,18,"MICH","Michigan","Big Ten",93
"498",251,4,126,"Mid-American","Ohio","OHIO",26,44,"",10,26,"NFLKST","Norfolk State","FCS",111
"26",252,4,127,"Big Ten","Ohio State","OSU",16,29,"",15,26,"UAB","Alabama-Birmingham","Conference USA",5
"33",253,4,130,"Pac-12","Oregon","ORE",3,49,"",0,22,"ARI","Arizona","Pac-12",8
"746",254,4,131,"Pac-12","Oregon State","ORST",26,27,"@",20,19,"UCLA","UCLA","Pac-12",183
"661",255,4,132,"Big Ten","Penn State","PENN",26,24,"",13,26,"TEM","Temple","Big East",165
"226",256,4,133,"Big East","Pittsburgh","PITT",26,55,"",10,26,"GARDWB","Gardner-Webb","FCS",54
"44",257,4,140,"Big East","Rutgers","RUT",26,35,"@",26,26,"ARK","Arkansas","Southeastern",10
"589",258,4,145,"Western Athletic","San Jose State","SJSU",26,38,"@",34,26,"SDSU","San Diego State","Mountain West",144
"440",259,4,148,"Southeastern","South Carolina","SC",7,31,"",10,26,"MIZZ","Missouri","Southeastern",99
"118",260,4,156,"Pac-12","Southern California","USC",13,27,"",9,26,"CAL","California","Pac-12",24
"10",261,4,166,"Southeastern","Tennessee","TEN",26,47,"",26,26,"AKRON","Akron","Mid-American",2
"607",262,4,170,"Southeastern","Texas A&M","TAMU",26,70,"",14,26,"SCST","South Carolina State","FCS",149
"767",263,4,172,"Big 12","Texas Christian","TCU",17,27,"",7,26,"UVA","Virginia","Atlantic Coast",188
"654",264,4,174,"Western Athletic","Texas State","TEXST",26,41,"",37,26,"SFAUST","Stephen F. Austin","FCS",162
"528",265,4,177,"Western Athletic","Texas-San Antonio","UTSA",26,56,"",3,26,"NWOKST","Northwestern Oklahoma State","Division II",123
"143",266,4,178,"Mid-American","Toledo","TOL",26,38,"",28,26,"CC","Coastal Carolina","FCS",34
"513",267,4,180,"Sun Belt","Troy","TROY",26,14,"@",7,26,"NTEX","North Texas","Sun Belt",117
"224",268,4,182,"Conference USA","Tulsa","TULSA",26,27,"",26,26,"FRES","Fresno State","Mountain West",52
"161",269,4,185,"Western Athletic","Utah State","UTST",26,31,"@",19,26,"COLS","Colorado State","Mountain West",36
"99",270,4,190,"Atlantic Coast","Virginia Tech","VT",26,37,"",0,26,"BG","Bowling Green State","Mid-American",20
"53",271,4,192,"Atlantic Coast","Wake Forest","WAKE",26,49,"",37,26,"ARMY","Army","Independent",12
"368",272,4,196,"Big 12","West Virginia","WV",8,31,"",21,26,"MARY","Maryland","Atlantic Coast",87
"648",273,4,199,"Sun Belt","Western Kentucky","WKU",26,42,"",17,26,"SO MISS","Southern Mississippi","Conference USA",159
"167",274,4,200,"Mid-American","Western Michigan","WMU",26,30,"",24,26,"UCONN","Connecticut","Big East",37
"708",275,4,202,"Big Ten","Wisconsin","WIS",26,37,"",26,26,"UT-EP","Texas-El Paso","Conference USA",176
"265",276,4,204,"Mountain West","Wyoming","WYO",26,40,"@",37,26,"ID","Idaho","Western Athletic",63
"651",277,5,193,"Pac-12","Washington","WASH",26,17,"",13,8,"STAN","Stanford","Pac-12",161
"242",278,5,21,"Independent","Brigham Young","BYU",26,47,"",0,26,"HAW","Hawaii","Mountain West",60
"155",279,5,1,"Mountain West","Air Force","AF",26,42,"",21,26,"COLS","Colorado State","Mountain West",36
"429",280,5,3,"Southeastern","Alabama","BAMA",1,33,"",14,26,"OLE","Mississippi","Southeastern",97
"117",281,5,9,"Pac-12","Arizona State","ASU",26,27,"@",17,26,"CAL","California","Pac-12",24
"482",282,5,18,"Mountain West","Boise State","BST",24,32,"@",29,26,"NM","New Mexico","Mountain West",108
"570",283,5,20,"Mid-American","Bowling Green State","BG",26,48,"",8,26,"RI","Rhode Island","FCS",137
"771",284,5,31,"Big East","Cincinnati","CIN",26,27,"",24,26,"VT","Virginia Tech","Atlantic Coast",190
"90",285,5,33,"Atlantic Coast","Clemson","CLEM",17,45,"@",31,26,"BC","Boston College","Atlantic Coast",19
"110",286,5,37,"Big East","Connecticut","UCONN",26,24,"",17,26,"BUF","Buffalo","Mid-American",22
"778",287,5,39,"Atlantic Coast","Duke","DUKE",26,34,"@",27,26,"WAKE","Wake Forest","Atlantic Coast",192
"709",288,5,40,"Conference USA","East Carolina","ECU",26,28,"",18,26,"UT-EP","Texas-El Paso","Conference USA",176
"612",289,5,50,"Atlantic Coast","Florida State","FSU",4,30,"@",17,26,"SFU","South Florida","Big East",152
"586",290,5,52,"Mountain West","Fresno State","FRES",26,52,"",40,26,"SDSU","San Diego State","Mountain West",144
"671",291,5,55,"Southeastern","Georgia","UGA",5,51,"",44,26,"TEN","Tennessee","Southeastern",166
"574",292,5,61,"Conference USA","Houston","HOU",26,35,"",14,26,"RICE","Rice","Conference USA",138
"423",293,5,69,"Big Ten","Iowa","IOWA",26,31,"",13,26,"MINN","Minnesota","Big Ten",96
"77",294,5,76,"Mid-American","Kent State","KENT",26,45,"",43,26,"BALL","Ball State","Mid-American",15
"721",295,5,80,"Southeastern","Louisiana State","LSU",3,38,"",22,26,"TOW","Towson","FCS",179
"768",296,5,81,"Western Athletic","Louisiana Tech","LTU",26,44,"@",38,26,"UVA","Virginia","Atlantic Coast",188
"216",297,5,82,"Sun Belt","Louisiana-Lafayette","LA-L",26,48,"",20,26,"FIU","Florida International","Sun Belt",49
"732",298,5,83,"Sun Belt","Louisiana-Monroe","LA-M",26,63,"@",10,26,"TULA","Tulane","Conference USA",181
"643",299,5,84,"Big East","Louisville","LOU",19,21,"@",17,26,"SO MISS","Southern Mississippi","Conference USA",159
"505",300,5,91,"Atlantic Coast","Miami FL","MIA",26,44,"",37,26,"NCST","North Carolina State","Atlantic Coast",114
"8",301,5,92,"Mid-American","Miami OH","MIA-O",26,56,"@",49,26,"AKRON","Akron","Mid-American",2
"238",302,5,95,"Sun Belt","Middle Tennessee State","MTSU",26,49,"@",28,26,"GT","Georgia Tech","Atlantic Coast",58
"127",303,5,99,"Southeastern","Missouri","MIZZ",26,21,"@",16,26,"UCF","Central Florida","Conference USA",27
"827",304,5,104,"Big Ten","Nebraska","NEB",22,30,"",27,26,"WIS","Wisconsin","Big Ten",202
"695",305,5,105,"Mountain West","Nevada","NEV",26,34,"@",21,26,"TEXST","Texas State","Western Athletic",174
"258",306,5,112,"Atlantic Coast","North Carolina","UNC",26,66,"",0,26,"ID","Idaho","Western Athletic",63
"203",307,5,117,"Sun Belt","North Texas","NTEX",26,20,"@",14,26,"FAU","Florida Atlantic","Sun Belt",48
"134",308,5,120,"Mid-American","Northern Illinois","NIU",26,55,"",24,26,"CMU","Central Michigan","Mid-American",28
"286",309,5,122,"Big Ten","Northwestern","NU",26,44,"",29,26,"IND","Indiana","Big Ten",67
"378",310,5,126,"Mid-American","Ohio","OHIO",26,37,"@",34,26,"UMASS","Massachusetts","Mid-American",88
"410",311,5,127,"Big Ten","Ohio State","OSU",14,17,"@",16,20,"MSU","Michigan State","Big Ten",94
"799",312,5,130,"Pac-12","Oregon","ORE",2,51,"@",26,26,"WSU","Washington State","Pac-12",194
"35",313,5,131,"Pac-12","Oregon State","ORST",18,38,"@",35,26,"ARI","Arizona","Pac-12",8
"273",314,5,132,"Big Ten","Penn State","PENN",26,35,"@",7,26,"IL","Illinois","Big Ten",65
"359",315,5,136,"Big Ten","Purdue","PUR",26,51,"",41,26,"MAR ","Marshall","Conference USA",86
"452",316,5,145,"Western Athletic","San Jose State","SJSU",26,12,"@",0,26,"NAVY","Navy","Independent",103
"333",317,5,148,"Southeastern","South Carolina","SC",6,38,"@",17,26,"UK","Kentucky","Southeastern",77
"60",318,5,163,"FCS","Stony Brook","STBRK",26,23,"@",3,26,"ARMY","Army","Independent",12
"540",319,5,169,"Big 12","Texas","TEX",12,41,"@",36,26,"OKST","Oklahoma State","Big 12",129
"48",320,5,170,"Southeastern","Texas A&M","TAMU",26,58,"",10,26,"ARK","Arkansas","Southeastern",10
"634",321,5,172,"Big 12","Texas Christian","TCU",15,24,"@",16,26,"SMU","Southern Methodist","Conference USA",158
"299",322,5,175,"Big 12","Texas Tech","TTU",26,24,"@",13,26,"ISU","Iowa State","Big 12",70
"490",323,5,177,"Western Athletic","Texas-San Antonio","UTSA",26,35,"@",14,26,"NMSU","New Mexico State","Western Athletic",109
"821",324,5,178,"Mid-American","Toledo","TOL",26,37,"@",17,26,"WMU","Western Michigan","Mid-American",200
"595",325,5,180,"Sun Belt","Troy","TROY",26,31,"@",10,26,"SOBAMA","South Alabama","Sun Belt",147
"29",326,5,182,"Conference USA","Tulsa","TULSA",26,49,"@",42,26,"UAB","Alabama-Birmingham","Conference USA",5
"146",327,5,183,"Pac-12","UCLA","UCLA",26,42,"@",14,26,"COL","Colorado","Pac-12",35
"465",328,5,185,"Western Athletic","Utah State","UTST",26,35,"",13,26,"UNLV","Nevada-Las Vegas","Mountain West",106
"78",329,5,196,"Big 12","West Virginia","WV",9,70,"",63,25,"BAY","Baylor","Big 12",16
"52",330,5,199,"Sun Belt","Western Kentucky","WKU",26,26,"@",13,26,"ARKST","Arkansas State","Sun Belt",11
"209",331,6,11,"Sun Belt","Arkansas State","ARKST",26,34,"@",20,26,"FIU","Florida International","Sun Belt",49
"181",332,6,27,"Conference USA","Central Florida","UCF",26,40,"",20,26,"ECU","East Carolina","Conference USA",40
"750",333,6,156,"Pac-12","Southern California","USC",13,38,"@",28,26,"UTAH","Utah","Pac-12",184
"756",334,6,21,"Independent","Brigham Young","BYU",26,6,"",3,26,"UTST","Utah State","Western Athletic",185
"554",335,6,164,"Big East","Syracuse","SYR",26,14,"",13,26,"PITT","Pittsburgh","Big East",133
"622",336,6,5,"Conference USA","Alabama-Birmingham","UAB",26,52,"",3,26,"SE LOU","Southeastern Louisiana","FCS",154
"66",337,6,10,"Southeastern","Arkansas","ARK",26,24,"@",7,26,"AUB","Auburn","Southeastern",13
"91",338,6,12,"Independent","Army","ARMY",26,34,"",31,26,"BC","Boston College","Atlantic Coast",19
"647",339,6,18,"Mountain West","Boise State","BST",26,40,"@",14,26,"SO MISS","Southern Mississippi","Conference USA",159
"11",340,6,20,"Mid-American","Bowling Green State","BG",26,24,"@",10,26,"AKRON","Akron","Mid-American",2
"744",341,6,24,"Pac-12","California","CAL",26,43,"",17,25,"UCLA","UCLA","Pac-12",183
"395",342,6,31,"Big East","Cincinnati","CIN",26,52,"",14,26,"MIA-O","Miami OH","Mid-American",92
"235",343,6,33,"Atlantic Coast","Clemson","CLEM",15,47,"",31,26,"GT","Georgia Tech","Atlantic Coast",58
"763",344,6,39,"Atlantic Coast","Duke","DUKE",26,42,"",17,26,"UVA","Virginia","Atlantic Coast",188
"338",345,6,46,"Southeastern","Florida","UF",10,14,"",6,4,"LSU","Louisiana State","Southeastern",80
"159",346,6,52,"Mountain West","Fresno State","FRES",26,28,"@",7,26,"COLS","Colorado State","Mountain West",36
"514",347,6,61,"Conference USA","Houston","HOU",26,44,"",21,26,"NTEX","North Texas","Sun Belt",117
"493",348,6,63,"Western Athletic","Idaho","ID",26,26,"",18,26,"NMSU","New Mexico State","Western Athletic",109
"686",349,6,70,"Big 12","Iowa State","ISU",26,37,"@",23,15,"TCU","Texas Christian","Big 12",172
"318",350,6,75,"Big 12","Kansas State","KSU",7,56,"",16,26,"KU","Kansas","Big 12",74
"194",351,6,76,"Mid-American","Kent State","KENT",26,41,"@",14,26,"EMU","Eastern Michigan","Mid-American",43
"464",352,6,81,"Western Athletic","Louisiana Tech","LTU",26,58,"",31,26,"UNLV","Nevada-Las Vegas","Mountain West",106
"737",353,6,82,"Sun Belt","Louisiana-Lafayette","LA-L",26,41,"",13,26,"TULA","Tulane","Conference USA",181
"415",354,6,83,"Sun Belt","Louisiana-Monroe","LA-M",26,31,"@",17,26,"MTSU","Middle Tennessee State","Sun Belt",95
"781",355,6,87,"Atlantic Coast","Maryland","MARY",26,19,"",14,26,"WAKE","Wake Forest","Atlantic Coast",192
"572",356,6,90,"Conference USA","Memphis","MEM",26,14,"",10,26,"RICE","Rice","Conference USA",138
"565",357,6,93,"Big Ten","Michigan","MICH",26,44,"@",13,26,"PUR","Purdue","Big Ten",136
"280",358,6,94,"Big Ten","Michigan State","MSU",26,31,"@",27,26,"IND","Indiana","Big Ten",67
"331",359,6,98,"Southeastern","Mississippi State","MISS ST",20,27,"@",14,26,"UK","Kentucky","Southeastern",77
"7",360,6,103,"Independent","Navy","NAVY",26,28,"@",21,26,"AF","Air Force","Mountain West",1
"833",361,6,105,"Mountain West","Nevada","NEV",26,35,"",28,26,"WYO","Wyoming","Mountain West",204
"691",362,6,108,"Mountain West","New Mexico","NM",26,35,"",14,26,"TEXST","Texas State","Western Athletic",174
"776",363,6,112,"Atlantic Coast","North Carolina","UNC",26,48,"",34,26,"VT","Virginia Tech","Atlantic Coast",190
"219",364,6,114,"Atlantic Coast","North Carolina State","NCST",26,17,"",16,3,"FSU","Florida State","Atlantic Coast",50
"74",365,6,120,"Mid-American","Northern Illinois","NIU",26,35,"@",23,26,"BALL","Ball State","Mid-American",15
"391",366,6,125,"Independent","Notre Dame","ND",9,41,"",3,26,"MIA","Miami FL","Atlantic Coast",91
"109",367,6,126,"Mid-American","Ohio","OHIO",26,38,"",31,26,"BUF","Buffalo","Mid-American",22
"455",368,6,127,"Big Ten","Ohio State","OSU",12,63,"",38,21,"NEB","Nebraska","Big Ten",104
"701",369,6,128,"Big 12","Oklahoma","OU",17,41,"@",20,26,"TTU","Texas Tech","Big 12",175
"789",370,6,130,"Pac-12","Oregon","ORE",2,52,"",21,23,"WASH","Washington","Pac-12",193
"793",371,6,131,"Pac-12","Oregon State","ORST",14,19,"",6,26,"WSU","Washington State","Pac-12",194
"525",372,6,132,"Big Ten","Penn State","PENN",26,39,"",28,24,"NU","Northwestern","Big Ten",122
"166",373,6,140,"Big East","Rutgers","RUT",22,19,"",3,26,"UCONN","Connecticut","Big East",37
"240",374,6,144,"Mountain West","San Diego State","SDSU",26,52,"",14,26,"HAW","Hawaii","Mountain West",60
"227",375,6,148,"Southeastern","South Carolina","SC",6,35,"",7,5,"UGA","Georgia","Southeastern",55
"711",376,6,158,"Conference USA","Southern Methodist","SMU",26,17,"@",0,26,"UT-EP","Texas-El Paso","Conference USA",176
"34",377,6,161,"Pac-12","Stanford","STAN",18,54,"",48,26,"ARI","Arizona","Pac-12",8
"616",378,6,165,"Big East","Temple","TEM",26,37,"",28,26,"SFU","South Florida","Big East",152
"426",379,6,170,"Southeastern","Texas A&M","TAMU",26,30,"@",27,26,"OLE","Mississippi","Southeastern",97
"129",380,6,178,"Mid-American","Toledo","TOL",26,50,"",35,26,"CMU","Central Michigan","Mid-American",28
"356",381,6,182,"Conference USA","Tulsa","TULSA",26,45,"@",38,26,"MAR ","Marshall","Conference USA",86
"442",382,6,186,"Southeastern","Vanderbilt","VAN",26,19,"@",15,26,"MIZZ","Missouri","Southeastern",99
"677",383,6,196,"Big 12","West Virginia","WV",8,48,"@",45,11,"TEX","Texas","Big 12",169
"371",384,6,200,"Mid-American","Western Michigan","WMU",26,52,"",14,26,"UMASS","Massachusetts","Mid-American",88
"274",385,6,202,"Big Ten","Wisconsin","WIS",26,31,"",14,26,"IL","Illinois","Big Ten",65
"145",386,7,9,"Pac-12","Arizona State","ASU",26,51,"@",17,26,"COL","Colorado","Pac-12",35
"712",387,7,182,"Conference USA","Tulsa","TULSA",26,33,"",11,26,"UT-EP","Texas-El Paso","Conference USA",176
"729",388,7,199,"Sun Belt","Western Kentucky","WKU",26,31,"@",26,26,"TROY","Troy","Sun Belt",180
"132",389,7,103,"Independent","Navy","NAVY",26,31,"@",13,26,"CMU","Central Michigan","Mid-American",28
"837",390,7,1,"Mountain West","Air Force","AF",26,28,"@",27,26,"WYO","Wyoming","Mountain West",204
"436",391,7,3,"Southeastern","Alabama","BAMA",1,42,"@",10,26,"MIZZ","Missouri","Southeastern",99
"328",392,7,10,"Southeastern","Arkansas","ARK",26,49,"",7,26,"UK","Kentucky","Southeastern",77
"598",393,7,11,"Sun Belt","Arkansas State","ARKST",26,36,"",29,26,"SOBAMA","South Alabama","Sun Belt",147
"824",394,7,15,"Mid-American","Ball State","BALL",26,30,"",24,26,"WMU","Western Michigan","Mid-American",200
"223",395,7,18,"Mountain West","Boise State","BST",24,20,"",10,26,"FRES","Fresno State","Mountain West",52
"399",396,7,20,"Mid-American","Bowling Green State","BG",26,37,"",12,26,"MIA-O","Miami OH","Mid-American",92
"798",397,7,24,"Pac-12","California","CAL",26,31,"@",17,26,"WSU","Washington State","Pac-12",194
"638",398,7,27,"Conference USA","Central Florida","UCF",26,38,"",31,26,"SO MISS","Southern Mississippi","Conference USA",159
"220",399,7,31,"Big East","Cincinnati","CIN",21,49,"",17,26,"FORD","Fordham","FCS",51
"382",400,7,40,"Conference USA","East Carolina","ECU",26,41,"",7,26,"MEM","Memphis","Conference USA",90
"759",401,7,46,"Southeastern","Florida","UF",4,31,"@",17,26,"VAN","Vanderbilt","Southeastern",186
"88",402,7,50,"Atlantic Coast","Florida State","FSU",12,51,"",7,26,"BC","Boston College","Atlantic Coast",19
"24",403,7,61,"Conference USA","Houston","HOU",26,39,"",17,26,"UAB","Alabama-Birmingham","Conference USA",5
"413",404,7,69,"Big Ten","Iowa","IOWA",26,19,"@",16,26,"MSU","Michigan State","Big Ten",94
"302",405,7,75,"Big 12","Kansas State","KSU",6,27,"@",21,26,"ISU","Iowa State","Big 12",70
"55",406,7,76,"Mid-American","Kent State","KENT",26,31,"@",17,26,"ARMY","Army","Independent",12
"606",407,7,80,"Southeastern","Louisiana State","LSU",9,23,"",21,3,"SC","South Carolina","Southeastern",148
"200",408,7,83,"Sun Belt","Louisiana-Monroe","LA-M",26,35,"",14,26,"FAU","Florida Atlantic","Sun Belt",48
"559",409,7,84,"Big East","Louisville","LOU",18,45,"@",35,26,"PITT","Pittsburgh","Big East",133
"764",410,7,87,"Atlantic Coast","Maryland","MARY",26,27,"@",20,26,"UVA","Virginia","Atlantic Coast",188
"278",411,7,93,"Big Ten","Michigan","MICH",25,45,"",0,26,"IL","Illinois","Big Ten",65
"210",412,7,95,"Sun Belt","Middle Tennessee State","MTSU",26,34,"@",30,26,"FIU","Florida International","Sun Belt",49
"68",413,7,97,"Southeastern","Mississippi","OLE",26,41,"",20,26,"AUB","Auburn","Southeastern",13
"674",414,7,98,"Southeastern","Mississippi State","MISS ST",19,41,"",31,26,"TEN","Tennessee","Southeastern",166
"463",415,7,105,"Mountain West","Nevada","NEV",26,42,"@",37,26,"UNLV","Nevada-Las Vegas","Mountain West",106
"245",416,7,108,"Mountain West","New Mexico","NM",26,35,"@",23,26,"HAW","Hawaii","Mountain West",60
"394",417,7,112,"Atlantic Coast","North Carolina","UNC",26,18,"@",14,26,"MIA","Miami FL","Atlantic Coast",91
"111",418,7,120,"Mid-American","Northern Illinois","NIU",26,45,"",3,26,"BUF","Buffalo","Mid-American",22
"419",419,7,122,"Big Ten","Northwestern","NU",26,21,"@",13,26,"MINN","Minnesota","Big Ten",96
"652",420,7,125,"Independent","Notre Dame","ND",7,20,"",13,17,"STAN","Stanford","Pac-12",161
"9",421,7,126,"Mid-American","Ohio","OHIO",26,34,"",28,26,"AKRON","Akron","Mid-American",2
