"","game.id","w.id","l.id","week","w.conference","w.abbrvs","w.rank","w.name","w.pts","location","l.pts","l.name","l.rank","l.abbrvs","l.conference"
"560",213,69,190,3,"Pac-12","WASH",26,"Washington",52,"",13,"Portland State",26,"PORTST","FCS"
"307",214,70,191,3,"Big 12","WV",9,"West Virginia",42,"",12,"James Madison",26,"JAMES","FCS"
"332",215,71,86,3,"Sun Belt","WKU",26,"Western Kentucky",32,"@",31,"Kentucky",26,"UK","Southeastern"
"755",216,72,15,3,"Big Ten","WIS",26,"Wisconsin",16,"",14,"Utah State",26,"UTST","Western Athletic"
"110",217,8,81,4,"Mid-American","KENT",26,"Kent State",23,"@",7,"Buffalo",26,"BUF","Mid-American"
"102",218,112,3,4,"Mountain West","BST",24,"Boise State",7,"",6,"Brigham Young",26,"BYU","Independent"
"349",219,74,88,4,"Big 12","BAY",26,"Baylor",47,"@",42,"Louisiana-Monroe",26,"LA-M","Sun Belt"
"206",220,22,16,4,"Southeastern","BAMA",1,"Alabama",40,"",7,"Florida Atlantic",26,"FAU","Sun Belt"
"753",221,1,14,4,"Pac-12","ASU",26,"Arizona State",37,"",7,"Utah",26,"UTAH","Pac-12"
"30",222,78,192,4,"Sun Belt","ARKST",26,"Arkansas State",56,"",0,"Alcorn State",26,"ALCORN","FCS"
"613",223,2,59,4,"Mid-American","BALL",26,"Ball State",31,"",27,"South Florida",26,"SFU","Big East"
"290",224,5,35,4,"Mid-American","CMU",26,"Central Michigan",32,"@",31,"Iowa",26,"IOWA","Big Ten"
"793",225,121,108,4,"Pac-12","COL",26,"Colorado",35,"@",34,"Washington State",26,"WSU","Pac-12"
"388",226,27,130,4,"Atlantic Coast","DUKE",26,"Duke",38,"",14,"Memphis",26,"MEM","Conference USA"
"324",227,29,86,4,"Southeastern","UF",14,"Florida",38,"",0,"Kentucky",26,"UK","Southeastern"
"141",228,30,25,4,"Atlantic Coast","FSU",4,"Florida State",49,"",37,"Clemson",10,"CLEM","Atlantic Coast"
"757",229,32,120,4,"Southeastern","UGA",5,"Georgia",48,"",3,"Vanderbilt",26,"VAN","Southeastern"
"538",230,38,54,4,"Big 12","KSU",15,"Kansas State",24,"@",19,"Oklahoma",6,"OU","Big 12"
"66",231,39,111,4,"Southeastern","LSU",2,"Louisiana State",12,"@",10,"Auburn",26,"AUB","Southeastern"
"272",232,87,33,4,"Western Athletic","LTU",26,"Louisiana Tech",52,"@",24,"Illinois",26,"IL","Big Ten"
"213",233,75,83,4,"Big East","LOU",20,"Louisville",28,"@",21,"Florida International",26,"FIU","Sun Belt"
"571",234,89,99,4,"Conference USA","MAR ",26,"Marshall",54,"@",51,"Rice",26,"RICE","Conference USA"
"234",235,42,84,4,"Atlantic Coast","MIA",26,"Miami FL",42,"@",36,"Georgia Tech",26,"GT","Atlantic Coast"
"376",236,90,133,4,"Mid-American","MIA-O",26,"Miami OH",27,"",16,"Massachusetts",26,"UMASS","Mid-American"
"191",237,17,132,4,"Big Ten","MSU",21,"Michigan State",23,"",7,"Eastern Michigan",26,"EMU","Mid-American"
"657",238,10,117,4,"Big Ten","MINN",26,"Minnesota",17,"",10,"Syracuse",26,"SYR","Big East"
"736",239,43,131,4,"Southeastern","OLE",26,"Mississippi",39,"",0,"Tulane",26,"TULA","Conference USA"
"603",240,44,103,4,"Southeastern","MISS ST",23,"Mississippi State",30,"",10,"South Alabama",26,"SOBAMA","Sun Belt"
"770",241,122,193,4,"Independent","NAVY",26,"Navy",41,"",3,"Virginia Military Institute",26,"VMI","FCS"
"269",242,46,140,4,"Big Ten","NEB",25,"Nebraska",73,"",7,"Idaho State",26,"IDST","FCS"
"247",243,47,114,4,"Mountain West","NEV",26,"Nevada",69,"@",24,"Hawaii",26,"HAW","Mountain West"
"6",244,123,21,4,"Mountain West","UNLV",26,"Nevada-Las Vegas",38,"",35,"Air Force",26,"AF","Mountain West"
"485",245,48,11,4,"Mountain West","NM",26,"New Mexico",27,"@",14,"New Mexico State",26,"NMSU","Western Athletic"
"182",246,49,28,4,"Atlantic Coast","UNC",26,"North Carolina",27,"",6,"East Carolina",26,"ECU","Conference USA"
"140",247,93,194,4,"Atlantic Coast","NCST",26,"North Carolina State",52,"",14,"Citadel",26,"CIT","FCS"
"318",248,97,37,4,"Mid-American","NIU",26,"Northern Illinois",30,"",23,"Kansas",26,"KU","Big 12"
"609",249,50,195,4,"Big Ten","NU",26,"Northwestern",38,"",7,"South Dakota",26,"USD","FCS"
"407",250,51,91,4,"Independent","ND",11,"Notre Dame",13,"",6,"Michigan",18,"MICH","Big Ten"
"498",251,52,196,4,"Mid-American","OHIO",26,"Ohio",44,"",10,"Norfolk State",26,"NFLKST","FCS"
"29",252,53,127,4,"Big Ten","OSU",16,"Ohio State",29,"",15,"Alabama-Birmingham",26,"UAB","Conference USA"
"32",253,56,23,4,"Pac-12","ORE",3,"Oregon",49,"",0,"Arizona",22,"ARI","Pac-12"
"747",254,98,13,4,"Pac-12","ORST",26,"Oregon State",27,"@",20,"UCLA",19,"UCLA","Pac-12"
"665",255,115,19,4,"Big Ten","PENN",26,"Penn State",24,"",13,"Temple",26,"TEM","Big East"
"226",256,116,197,4,"Big East","PITT",26,"Pittsburgh",55,"",10,"Gardner-Webb",26,"GARDWB","FCS"
"45",257,58,24,4,"Big East","RUT",26,"Rutgers",35,"@",26,"Arkansas",26,"ARK","Southeastern"
"589",258,102,101,4,"Western Athletic","SJSU",26,"San Jose State",38,"@",34,"San Diego State",26,"SDSU","Mountain West"
"439",259,12,45,4,"Southeastern","SC",7,"South Carolina",31,"",10,"Missouri",26,"MIZZ","Southeastern"
"118",260,60,82,4,"Pac-12","USC",13,"Southern California",27,"",9,"California",26,"CAL","Pac-12"
"11",261,20,110,4,"Southeastern","TEN",26,"Tennessee",47,"",26,"Akron",26,"AKRON","Mid-American"
"608",262,118,180,4,"Southeastern","TAMU",26,"Texas A&M",70,"",14,"South Carolina State",26,"SCST","FCS"
"763",263,105,67,4,"Big 12","TCU",17,"Texas Christian",27,"",7,"Virginia",26,"UVA","Atlantic Coast"
"653",264,63,175,4,"Western Athletic","TEXST",26,"Texas State",41,"",37,"Stephen F. Austin",26,"SFAUST","FCS"
"528",265,65,198,4,"Western Athletic","UTSA",26,"Texas-San Antonio",56,"",3,"Northwestern Oklahoma State",26,"NWOKST","Division II"
"143",266,106,199,4,"Mid-American","TOL",26,"Toledo",38,"",28,"Coastal Carolina",26,"CC","FCS"
"517",267,66,95,4,"Sun Belt","TROY",26,"Troy",14,"@",7,"North Texas",26,"NTEX","Sun Belt"
"221",268,107,31,4,"Conference USA","TULSA",26,"Tulsa",27,"",26,"Fresno State",26,"FRES","Mountain West"
"162",269,15,26,4,"Western Athletic","UTST",26,"Utah State",31,"@",19,"Colorado State",26,"COLS","Mountain West"
"96",270,76,80,4,"Atlantic Coast","VT",26,"Virginia Tech",37,"",0,"Bowling Green State",26,"BG","Mid-American"
"58",271,68,128,4,"Atlantic Coast","WAKE",26,"Wake Forest",49,"",37,"Army",26,"ARMY","Independent"
"365",272,70,41,4,"Big 12","WV",8,"West Virginia",31,"",21,"Maryland",26,"MARY","Atlantic Coast"
"637",273,71,153,4,"Sun Belt","WKU",26,"Western Kentucky",42,"",17,"Southern Mississippi",26,"SO MISS","Conference USA"
"164",274,109,6,4,"Mid-American","WMU",26,"Western Michigan",30,"",24,"Connecticut",26,"UCONN","Big East"
"705",275,72,119,4,"Big Ten","WIS",26,"Wisconsin",37,"",26,"Texas-El Paso",26,"UT-EP","Conference USA"
"264",276,124,129,4,"Mountain West","WYO",26,"Wyoming",40,"@",37,"Idaho",26,"ID","Western Athletic"
"651",277,69,18,5,"Pac-12","WASH",26,"Washington",17,"",13,"Stanford",8,"STAN","Pac-12"
"246",278,3,114,5,"Independent","BYU",26,"Brigham Young",47,"",0,"Hawaii",26,"HAW","Mountain West"
"157",279,21,26,5,"Mountain West","AF",26,"Air Force",42,"",21,"Colorado State",26,"COLS","Mountain West"
"425",280,22,43,5,"Southeastern","BAMA",1,"Alabama",33,"",14,"Mississippi",26,"OLE","Southeastern"
"122",281,1,82,5,"Pac-12","ASU",26,"Arizona State",27,"@",17,"California",26,"CAL","Pac-12"
"476",282,112,48,5,"Mountain West","BST",24,"Boise State",32,"@",29,"New Mexico",26,"NM","Mountain West"
"570",283,80,200,5,"Mid-American","BG",26,"Bowling Green State",48,"",8,"Rhode Island",26,"RI","FCS"
"771",284,77,76,5,"Big East","CIN",26,"Cincinnati",27,"",24,"Virginia Tech",26,"VT","Atlantic Coast"
"88",285,25,79,5,"Atlantic Coast","CLEM",17,"Clemson",45,"@",31,"Boston College",26,"BC","Atlantic Coast"
"112",286,6,81,5,"Big East","UCONN",26,"Connecticut",24,"",17,"Buffalo",26,"BUF","Mid-American"
"778",287,27,68,5,"Atlantic Coast","DUKE",26,"Duke",34,"@",27,"Wake Forest",26,"WAKE","Atlantic Coast"
"706",288,28,119,5,"Conference USA","ECU",26,"East Carolina",28,"",18,"Texas-El Paso",26,"UT-EP","Conference USA"
"614",289,30,59,5,"Atlantic Coast","FSU",4,"Florida State",30,"@",17,"South Florida",26,"SFU","Big East"
"588",290,31,101,5,"Mountain West","FRES",26,"Fresno State",52,"",40,"San Diego State",26,"SDSU","Mountain West"
"674",291,32,20,5,"Southeastern","UGA",5,"Georgia",51,"",44,"Tennessee",26,"TEN","Southeastern"
"572",292,125,99,5,"Conference USA","HOU",26,"Houston",35,"",14,"Rice",26,"RICE","Conference USA"
"422",293,35,10,5,"Big Ten","IOWA",26,"Iowa",31,"",13,"Minnesota",26,"MINN","Big Ten"
"76",294,8,2,5,"Mid-American","KENT",26,"Kent State",45,"",43,"Ball State",26,"BALL","Mid-American"
"721",295,39,135,5,"Southeastern","LSU",3,"Louisiana State",38,"",22,"Towson",26,"TOW","FCS"
"768",296,87,67,5,"Western Athletic","LTU",26,"Louisiana Tech",44,"@",38,"Virginia",26,"UVA","Atlantic Coast"
"211",297,40,83,5,"Sun Belt","LA-L",26,"Louisiana-Lafayette",48,"",20,"Florida International",26,"FIU","Sun Belt"
"734",298,88,131,5,"Sun Belt","LA-M",26,"Louisiana-Monroe",63,"@",10,"Tulane",26,"TULA","Conference USA"
"640",299,75,153,5,"Big East","LOU",19,"Louisville",21,"@",17,"Southern Mississippi",26,"SO MISS","Conference USA"
"505",300,42,93,5,"Atlantic Coast","MIA",26,"Miami FL",44,"",37,"North Carolina State",26,"NCST","Atlantic Coast"
"9",301,90,110,5,"Mid-American","MIA-O",26,"Miami OH",56,"@",49,"Akron",26,"AKRON","Mid-American"
"232",302,92,84,5,"Sun Belt","MTSU",26,"Middle Tennessee State",49,"@",28,"Georgia Tech",26,"GT","Atlantic Coast"
"128",303,45,4,5,"Southeastern","MIZZ",26,"Missouri",21,"@",16,"Central Florida",26,"UCF","Conference USA"
"831",304,46,72,5,"Big Ten","NEB",22,"Nebraska",30,"",27,"Wisconsin",26,"WIS","Big Ten"
"695",305,47,63,5,"Mountain West","NEV",26,"Nevada",34,"@",21,"Texas State",26,"TEXST","Western Athletic"
"265",306,49,129,5,"Atlantic Coast","UNC",26,"North Carolina",66,"",0,"Idaho",26,"ID","Western Athletic"
"202",307,95,16,5,"Sun Belt","NTEX",26,"North Texas",20,"@",14,"Florida Atlantic",26,"FAU","Sun Belt"
"129",308,97,5,5,"Mid-American","NIU",26,"Northern Illinois",55,"",24,"Central Michigan",26,"CMU","Mid-American"
"286",309,50,34,5,"Big Ten","NU",26,"Northwestern",44,"",29,"Indiana",26,"IND","Big Ten"
"377",310,52,133,5,"Mid-American","OHIO",26,"Ohio",37,"@",34,"Massachusetts",26,"UMASS","Mid-American"
"411",311,53,17,5,"Big Ten","OSU",14,"Ohio State",17,"@",16,"Michigan State",20,"MSU","Big Ten"
"791",312,56,108,5,"Pac-12","ORE",2,"Oregon",51,"@",26,"Washington State",26,"WSU","Pac-12"
"35",313,98,23,5,"Pac-12","ORST",18,"Oregon State",38,"@",35,"Arizona",26,"ARI","Pac-12"
"273",314,115,33,5,"Big Ten","PENN",26,"Penn State",35,"@",7,"Illinois",26,"IL","Big Ten"
"357",315,57,89,5,"Big Ten","PUR",26,"Purdue",51,"",41,"Marshall",26,"MAR ","Conference USA"
"448",316,102,122,5,"Western Athletic","SJSU",26,"San Jose State",12,"@",0,"Navy",26,"NAVY","Independent"
"326",317,12,86,5,"Southeastern","SC",6,"South Carolina",38,"@",17,"Kentucky",26,"UK","Southeastern"
"53",318,126,128,5,"FCS","STBRK",26,"Stony Brook",23,"@",3,"Army",26,"ARMY","Independent"
"541",319,62,55,5,"Big 12","TEX",12,"Texas",41,"@",36,"Oklahoma State",26,"OKST","Big 12"
"49",320,118,24,5,"Southeastern","TAMU",26,"Texas A&M",58,"",10,"Arkansas",26,"ARK","Southeastern"
"635",321,105,104,5,"Big 12","TCU",15,"Texas Christian",24,"@",16,"Southern Methodist",26,"SMU","Conference USA"
"302",322,64,36,5,"Big 12","TTU",26,"Texas Tech",24,"@",13,"Iowa State",26,"ISU","Big 12"
"487",323,65,11,5,"Western Athletic","UTSA",26,"Texas-San Antonio",35,"@",14,"New Mexico State",26,"NMSU","Western Athletic"
"821",324,106,109,5,"Mid-American","TOL",26,"Toledo",37,"@",17,"Western Michigan",26,"WMU","Mid-American"
"598",325,66,103,5,"Sun Belt","TROY",26,"Troy",31,"@",10,"South Alabama",26,"SOBAMA","Sun Belt"
"21",326,107,127,5,"Conference USA","TULSA",26,"Tulsa",49,"@",42,"Alabama-Birmingham",26,"UAB","Conference USA"
"148",327,13,121,5,"Pac-12","UCLA",26,"UCLA",42,"@",14,"Colorado",26,"COL","Pac-12"
"471",328,15,123,5,"Western Athletic","UTST",26,"Utah State",35,"",13,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"79",329,70,74,5,"Big 12","WV",9,"West Virginia",70,"",63,"Baylor",25,"BAY","Big 12"
"50",330,71,78,5,"Sun Belt","WKU",26,"Western Kentucky",26,"@",13,"Arkansas State",26,"ARKST","Sun Belt"
"210",331,78,83,6,"Sun Belt","ARKST",26,"Arkansas State",34,"@",20,"Florida International",26,"FIU","Sun Belt"
"180",332,4,28,6,"Conference USA","UCF",26,"Central Florida",40,"",20,"East Carolina",26,"ECU","Conference USA"
"754",333,60,14,6,"Pac-12","USC",13,"Southern California",38,"@",28,"Utah",26,"UTAH","Pac-12"
"756",334,3,15,6,"Independent","BYU",26,"Brigham Young",6,"",3,"Utah State",26,"UTST","Western Athletic"
"557",335,117,116,6,"Big East","SYR",26,"Syracuse",14,"",13,"Pittsburgh",26,"PITT","Big East"
"622",336,127,152,6,"Conference USA","UAB",26,"Alabama-Birmingham",52,"",3,"Southeastern Louisiana",26,"SE LOU","FCS"
"70",337,24,111,6,"Southeastern","ARK",26,"Arkansas",24,"@",7,"Auburn",26,"AUB","Southeastern"
"94",338,128,79,6,"Independent","ARMY",26,"Army",34,"",31,"Boston College",26,"BC","Atlantic Coast"
"642",339,112,153,6,"Mountain West","BST",26,"Boise State",40,"@",14,"Southern Mississippi",26,"SO MISS","Conference USA"
"16",340,80,110,6,"Mid-American","BG",26,"Bowling Green State",24,"@",10,"Akron",26,"AKRON","Mid-American"
"746",341,82,13,6,"Pac-12","CAL",26,"California",43,"",17,"UCLA",25,"UCLA","Pac-12"
"396",342,77,90,6,"Big East","CIN",26,"Cincinnati",52,"",14,"Miami OH",26,"MIA-O","Mid-American"
"233",343,25,84,6,"Atlantic Coast","CLEM",15,"Clemson",47,"",31,"Georgia Tech",26,"GT","Atlantic Coast"
"767",344,27,67,6,"Atlantic Coast","DUKE",26,"Duke",42,"",17,"Virginia",26,"UVA","Atlantic Coast"
"338",345,29,39,6,"Southeastern","UF",10,"Florida",14,"",6,"Louisiana State",4,"LSU","Southeastern"
"159",346,31,26,6,"Mountain West","FRES",26,"Fresno State",28,"@",7,"Colorado State",26,"COLS","Mountain West"
"516",347,125,95,6,"Conference USA","HOU",26,"Houston",44,"",21,"North Texas",26,"NTEX","Sun Belt"
"491",348,129,11,6,"Western Athletic","ID",26,"Idaho",26,"",18,"New Mexico State",26,"NMSU","Western Athletic"
"687",349,36,105,6,"Big 12","ISU",26,"Iowa State",37,"@",23,"Texas Christian",15,"TCU","Big 12"
"317",350,38,37,6,"Big 12","KSU",7,"Kansas State",56,"",16,"Kansas",26,"KU","Big 12"
"186",351,8,132,6,"Mid-American","KENT",26,"Kent State",41,"@",14,"Eastern Michigan",26,"EMU","Mid-American"
"465",352,87,123,6,"Western Athletic","LTU",26,"Louisiana Tech",58,"",31,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"731",353,40,131,6,"Sun Belt","LA-L",26,"Louisiana-Lafayette",41,"",13,"Tulane",26,"TULA","Conference USA"
"416",354,88,92,6,"Sun Belt","LA-M",26,"Louisiana-Monroe",31,"@",17,"Middle Tennessee State",26,"MTSU","Sun Belt"
"783",355,41,68,6,"Atlantic Coast","MARY",26,"Maryland",19,"",14,"Wake Forest",26,"WAKE","Atlantic Coast"
"574",356,130,99,6,"Conference USA","MEM",26,"Memphis",14,"",10,"Rice",26,"RICE","Conference USA"
"565",357,91,57,6,"Big Ten","MICH",26,"Michigan",44,"@",13,"Purdue",26,"PUR","Big Ten"
"285",358,17,34,6,"Big Ten","MSU",26,"Michigan State",31,"@",27,"Indiana",26,"IND","Big Ten"
"333",359,44,86,6,"Southeastern","MISS ST",20,"Mississippi State",27,"@",14,"Kentucky",26,"UK","Southeastern"
"1",360,122,21,6,"Independent","NAVY",26,"Navy",28,"@",21,"Air Force",26,"AF","Mountain West"
"840",361,47,124,6,"Mountain West","NEV",26,"Nevada",35,"",28,"Wyoming",26,"WYO","Mountain West"
"696",362,48,63,6,"Mountain West","NM",26,"New Mexico",35,"",14,"Texas State",26,"TEXST","Western Athletic"
"774",363,49,76,6,"Atlantic Coast","UNC",26,"North Carolina",48,"",34,"Virginia Tech",26,"VT","Atlantic Coast"
"218",364,93,30,6,"Atlantic Coast","NCST",26,"North Carolina State",17,"",16,"Florida State",3,"FSU","Atlantic Coast"
"77",365,97,2,6,"Mid-American","NIU",26,"Northern Illinois",35,"@",23,"Ball State",26,"BALL","Mid-American"
"392",366,51,42,6,"Independent","ND",9,"Notre Dame",41,"",3,"Miami FL",26,"MIA","Atlantic Coast"
"106",367,52,81,6,"Mid-American","OHIO",26,"Ohio",38,"",31,"Buffalo",26,"BUF","Mid-American"
"455",368,53,46,6,"Big Ten","OSU",12,"Ohio State",63,"",38,"Nebraska",21,"NEB","Big Ten"
"699",369,54,64,6,"Big 12","OU",17,"Oklahoma",41,"@",20,"Texas Tech",26,"TTU","Big 12"
"788",370,56,69,6,"Pac-12","ORE",2,"Oregon",52,"",21,"Washington",23,"WASH","Pac-12"
"799",371,98,108,6,"Pac-12","ORST",14,"Oregon State",19,"",6,"Washington State",26,"WSU","Pac-12"
"525",372,115,50,6,"Big Ten","PENN",26,"Penn State",39,"",28,"Northwestern",24,"NU","Big Ten"
"166",373,58,6,6,"Big East","RUT",22,"Rutgers",19,"",3,"Connecticut",26,"UCONN","Big East"
"244",374,101,114,6,"Mountain West","SDSU",26,"San Diego State",52,"",14,"Hawaii",26,"HAW","Mountain West"
"228",375,12,32,6,"Southeastern","SC",6,"South Carolina",35,"",7,"Georgia",5,"UGA","Southeastern"
"712",376,104,119,6,"Conference USA","SMU",26,"Southern Methodist",17,"@",0,"Texas-El Paso",26,"UT-EP","Conference USA"
"36",377,18,23,6,"Pac-12","STAN",18,"Stanford",54,"",48,"Arizona",26,"ARI","Pac-12"
"615",378,19,59,6,"Big East","TEM",26,"Temple",37,"",28,"South Florida",26,"SFU","Big East"
"426",379,118,43,6,"Southeastern","TAMU",26,"Texas A&M",30,"@",27,"Mississippi",26,"OLE","Southeastern"
"133",380,106,5,6,"Mid-American","TOL",26,"Toledo",50,"",35,"Central Michigan",26,"CMU","Mid-American"
"361",381,107,89,6,"Conference USA","TULSA",26,"Tulsa",45,"@",38,"Marshall",26,"MAR ","Conference USA"
"442",382,120,45,6,"Southeastern","VAN",26,"Vanderbilt",19,"@",15,"Missouri",26,"MIZZ","Southeastern"
"679",383,70,62,6,"Big 12","WV",8,"West Virginia",48,"@",45,"Texas",11,"TEX","Big 12"
"378",384,109,133,6,"Mid-American","WMU",26,"Western Michigan",52,"",14,"Massachusetts",26,"UMASS","Mid-American"
"270",385,72,33,6,"Big Ten","WIS",26,"Wisconsin",31,"",14,"Illinois",26,"IL","Big Ten"
"150",386,1,121,7,"Pac-12","ASU",26,"Arizona State",51,"@",17,"Colorado",26,"COL","Pac-12"
"710",387,107,119,7,"Conference USA","TULSA",26,"Tulsa",33,"",11,"Texas-El Paso",26,"UT-EP","Conference USA"
"725",388,71,66,7,"Sun Belt","WKU",26,"Western Kentucky",31,"@",26,"Troy",26,"TROY","Sun Belt"
"131",389,122,5,7,"Independent","NAVY",26,"Navy",31,"@",13,"Central Michigan",26,"CMU","Mid-American"
"838",390,21,124,7,"Mountain West","AF",26,"Air Force",28,"@",27,"Wyoming",26,"WYO","Mountain West"
"441",391,22,45,7,"Southeastern","BAMA",1,"Alabama",42,"@",10,"Missouri",26,"MIZZ","Southeastern"
"330",392,24,86,7,"Southeastern","ARK",26,"Arkansas",49,"",7,"Kentucky",26,"UK","Southeastern"
"596",393,78,103,7,"Sun Belt","ARKST",26,"Arkansas State",36,"",29,"South Alabama",26,"SOBAMA","Sun Belt"
"823",394,2,109,7,"Mid-American","BALL",26,"Ball State",30,"",24,"Western Michigan",26,"WMU","Mid-American"
"222",395,112,31,7,"Mountain West","BST",24,"Boise State",20,"",10,"Fresno State",26,"FRES","Mountain West"
"401",396,80,90,7,"Mid-American","BG",26,"Bowling Green State",37,"",12,"Miami OH",26,"MIA-O","Mid-American"
"794",397,82,108,7,"Pac-12","CAL",26,"California",31,"@",17,"Washington State",26,"WSU","Pac-12"
"641",398,4,153,7,"Conference USA","UCF",26,"Central Florida",38,"",31,"Southern Mississippi",26,"SO MISS","Conference USA"
"220",399,77,201,7,"Big East","CIN",21,"Cincinnati",49,"",17,"Fordham",26,"FORD","FCS"
"386",400,28,130,7,"Conference USA","ECU",26,"East Carolina",41,"",7,"Memphis",26,"MEM","Conference USA"
"760",401,29,120,7,"Southeastern","UF",4,"Florida",31,"@",17,"Vanderbilt",26,"VAN","Southeastern"
"92",402,30,79,7,"Atlantic Coast","FSU",12,"Florida State",51,"",7,"Boston College",26,"BC","Atlantic Coast"
"25",403,125,127,7,"Conference USA","HOU",26,"Houston",39,"",17,"Alabama-Birmingham",26,"UAB","Conference USA"
"410",404,35,17,7,"Big Ten","IOWA",26,"Iowa",19,"@",16,"Michigan State",26,"MSU","Big Ten"
"301",405,38,36,7,"Big 12","KSU",6,"Kansas State",27,"@",21,"Iowa State",26,"ISU","Big 12"
"57",406,8,128,7,"Mid-American","KENT",26,"Kent State",31,"@",17,"Army",26,"ARMY","Independent"
"606",407,39,12,7,"Southeastern","LSU",9,"Louisiana State",23,"",21,"South Carolina",3,"SC","Southeastern"
"203",408,88,16,7,"Sun Belt","LA-M",26,"Louisiana-Monroe",35,"",14,"Florida Atlantic",26,"FAU","Sun Belt"
"559",409,75,116,7,"Big East","LOU",18,"Louisville",45,"@",35,"Pittsburgh",26,"PITT","Big East"
"764",410,41,67,7,"Atlantic Coast","MARY",26,"Maryland",27,"@",20,"Virginia",26,"UVA","Atlantic Coast"
"278",411,91,33,7,"Big Ten","MICH",25,"Michigan",45,"",0,"Illinois",26,"IL","Big Ten"
"212",412,92,83,7,"Sun Belt","MTSU",26,"Middle Tennessee State",34,"@",30,"Florida International",26,"FIU","Sun Belt"
"64",413,43,111,7,"Southeastern","OLE",26,"Mississippi",41,"",20,"Auburn",26,"AUB","Southeastern"
"668",414,44,20,7,"Southeastern","MISS ST",19,"Mississippi State",41,"",31,"Tennessee",26,"TEN","Southeastern"
"472",415,47,123,7,"Mountain West","NEV",26,"Nevada",42,"@",37,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"243",416,48,114,7,"Mountain West","NM",26,"New Mexico",35,"@",23,"Hawaii",26,"HAW","Mountain West"
"394",417,49,42,7,"Atlantic Coast","UNC",26,"North Carolina",18,"@",14,"Miami FL",26,"MIA","Atlantic Coast"
"111",418,97,81,7,"Mid-American","NIU",26,"Northern Illinois",45,"",3,"Buffalo",26,"BUF","Mid-American"
"420",419,50,10,7,"Big Ten","NU",26,"Northwestern",21,"@",13,"Minnesota",26,"MINN","Big Ten"
"652",420,51,18,7,"Independent","ND",7,"Notre Dame",20,"",13,"Stanford",17,"STAN","Pac-12"
"13",421,52,110,7,"Mid-American","OHIO",26,"Ohio",34,"",28,"Akron",26,"AKRON","Mid-American"
