"","game.id","w.id","l.id","week","w.conference","w.abbrvs","w.rank","w.name","w.pts","location","l.pts","l.name","l.rank","l.abbrvs","l.conference"
"287",422,53,34,7,"Big Ten","OSU",8,"Ohio State",52,"@",49,"Indiana",26,"IND","Big Ten"
"678",423,54,62,7,"Big 12","OU",13,"Oklahoma",63,"",21,"Texas",15,"TEX","Big 12"
"314",424,55,37,7,"Big 12","OKST",26,"Oklahoma State",20,"@",14,"Kansas",26,"KU","Big 12"
"104",425,98,3,7,"Pac-12","ORST",10,"Oregon State",42,"@",24,"Brigham Young",26,"BYU","Independent"
"713",426,99,65,7,"Conference USA","RICE",26,"Rice",34,"",14,"Texas-San Antonio",26,"UTSA","Western Athletic"
"656",427,58,117,7,"Big East","RUT",20,"Rutgers",23,"",15,"Syracuse",26,"SYR","Big East"
"160",428,101,26,7,"Mountain West","SDSU",26,"San Diego State",38,"",14,"Colorado State",26,"COLS","Mountain West"
"789",429,60,69,7,"Pac-12","USC",11,"Southern California",24,"@",14,"Washington",26,"WASH","Pac-12"
"165",430,19,6,7,"Big East","TEM",26,"Temple",17,"@",14,"Connecticut",26,"UCONN","Big East"
"341",431,118,87,7,"Southeastern","TAMU",22,"Texas A&M",59,"@",57,"Louisiana Tech",23,"LTU","Western Athletic"
"78",432,105,74,7,"Big 12","TCU",26,"Texas Christian",49,"@",21,"Baylor",26,"BAY","Big 12"
"266",433,63,129,7,"Western Athletic","TEXST",26,"Texas State",38,"",7,"Idaho",26,"ID","Western Athletic"
"804",434,64,70,7,"Big 12","TTU",26,"Texas Tech",49,"",14,"West Virginia",5,"WV","Big 12"
"193",435,106,132,7,"Mid-American","TOL",26,"Toledo",52,"@",47,"Eastern Michigan",26,"EMU","Mid-American"
"632",436,131,104,7,"Conference USA","TULA",26,"Tulane",27,"",26,"Southern Methodist",26,"SMU","Conference USA"
"750",437,13,14,7,"Pac-12","UCLA",26,"UCLA",21,"",14,"Utah",26,"UTAH","Pac-12"
"590",438,15,102,7,"Western Athletic","UTST",26,"Utah State",49,"@",27,"San Jose State",26,"SJSU","Western Athletic"
"171",439,76,27,7,"Atlantic Coast","VT",26,"Virginia Tech",41,"",20,"Duke",26,"DUKE","Atlantic Coast"
"566",440,72,57,7,"Big Ten","WIS",26,"Wisconsin",38,"@",14,"Purdue",26,"PUR","Big Ten"
"344",441,95,40,8,"Sun Belt","NTEX",26,"North Texas",30,"",23,"Louisiana-Lafayette",26,"LA-L","Sun Belt"
"41",442,56,1,8,"Pac-12","ORE",2,"Oregon",43,"@",21,"Arizona State",26,"ASU","Pac-12"
"252",443,104,125,8,"Conference USA","SMU",26,"Southern Methodist",72,"",42,"Houston",26,"HOU","Conference USA"
"169",444,117,6,8,"Big East","SYR",26,"Syracuse",40,"",10,"Connecticut",26,"UCONN","Big East"
"482",445,21,48,8,"Mountain West","AF",26,"Air Force",28,"",23,"New Mexico",26,"NM","Mountain West"
"671",446,22,20,8,"Southeastern","BAMA",1,"Alabama",44,"@",13,"Tennessee",26,"TEN","Southeastern"
"787",447,23,69,8,"Pac-12","ARI",26,"Arizona",52,"",17,"Washington",26,"WASH","Pac-12"
"130",448,2,5,8,"Mid-American","BALL",26,"Ball State",41,"@",30,"Central Michigan",26,"CMU","Mid-American"
"463",449,112,123,8,"Mountain West","BST",24,"Boise State",32,"",7,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"375",450,80,133,8,"Mid-American","BG",26,"Bowling Green State",24,"@",0,"Massachusetts",26,"UMASS","Mid-American"
"384",451,4,130,8,"Conference USA","UCF",26,"Central Florida",35,"@",17,"Memphis",26,"MEM","Conference USA"
"775",452,25,76,8,"Atlantic Coast","CLEM",14,"Clemson",38,"",17,"Virginia Tech",26,"VT","Atlantic Coast"
"501",453,27,49,8,"Atlantic Coast","DUKE",26,"Duke",33,"",30,"North Carolina",26,"UNC","Atlantic Coast"
"27",454,28,127,8,"Conference USA","ECU",26,"East Carolina",42,"@",35,"Alabama-Birmingham",26,"UAB","Conference USA"
"59",455,132,128,8,"Mid-American","EMU",26,"Eastern Michigan",48,"",38,"Army",26,"ARMY","Independent"
"605",456,29,12,8,"Southeastern","UF",3,"Florida",44,"",11,"South Carolina",9,"SC","Southeastern"
"393",457,30,42,8,"Atlantic Coast","FSU",12,"Florida State",33,"@",20,"Miami FL",26,"MIA","Atlantic Coast"
"836",458,31,124,8,"Mountain West","FRES",26,"Fresno State",42,"",14,"Wyoming",26,"WYO","Mountain West"
"325",459,32,86,8,"Southeastern","UGA",13,"Georgia",29,"@",24,"Kentucky",26,"UK","Southeastern"
"87",460,84,79,8,"Atlantic Coast","GT",26,"Georgia Tech",37,"",17,"Boston College",26,"BC","Atlantic Coast"
"802",461,38,70,8,"Big 12","KSU",4,"Kansas State",55,"@",14,"West Virginia",17,"WV","Big 12"
"818",462,8,109,8,"Mid-American","KENT",26,"Kent State",41,"",24,"Western Michigan",26,"WMU","Mid-American"
"682",463,39,118,8,"Southeastern","LSU",6,"Louisiana State",24,"@",19,"Texas A&M",20,"TAMU","Southeastern"
"263",464,87,129,8,"Western Athletic","LTU",26,"Louisiana Tech",70,"",28,"Idaho",26,"ID","Western Athletic"
"816",465,88,71,8,"Sun Belt","LA-M",26,"Louisiana-Monroe",43,"@",42,"Western Kentucky",26,"WKU","Sun Belt"
"617",466,75,59,8,"Big East","LOU",16,"Louisville",27,"",25,"South Florida",26,"SFU","Big East"
"639",467,89,153,8,"Conference USA","MAR ",26,"Marshall",59,"@",24,"Southern Mississippi",26,"SO MISS","Conference USA"
"412",468,91,17,8,"Big Ten","MICH",23,"Michigan",12,"",10,"Michigan State",26,"MSU","Big Ten"
"415",469,44,92,8,"Southeastern","MISS ST",15,"Mississippi State",45,"",3,"Middle Tennessee State",26,"MTSU","Sun Belt"
"282",470,122,34,8,"Independent","NAVY",26,"Navy",31,"",30,"Indiana",26,"IND","Big Ten"
"526",471,46,50,8,"Big Ten","NEB",26,"Nebraska",29,"@",28,"Northwestern",26,"NU","Big Ten"
"363",472,93,41,8,"Atlantic Coast","NCST",26,"North Carolina State",20,"@",18,"Maryland",26,"MARY","Atlantic Coast"
"12",473,97,110,8,"Mid-American","NIU",26,"Northern Illinois",37,"@",7,"Akron",26,"AKRON","Mid-American"
"103",474,51,3,8,"Independent","ND",5,"Notre Dame",17,"",14,"Brigham Young",26,"BYU","Independent"
"563",475,53,57,8,"Big Ten","OSU",7,"Ohio State",29,"",22,"Purdue",26,"PUR","Big Ten"
"309",476,54,37,8,"Big 12","OU",10,"Oklahoma",52,"",7,"Kansas",26,"KU","Big 12"
"299",477,55,36,8,"Big 12","OKST",26,"Oklahoma State",31,"",10,"Iowa State",26,"ISU","Big 12"
"748",478,98,14,8,"Pac-12","ORST",8,"Oregon State",21,"",7,"Utah",26,"UTAH","Pac-12"
"289",479,115,35,8,"Big Ten","PENN",26,"Penn State",38,"@",14,"Iowa",26,"IOWA","Big Ten"
"113",480,116,81,8,"Big East","PITT",26,"Pittsburgh",20,"@",6,"Buffalo",26,"BUF","Mid-American"
"664",481,58,19,8,"Big East","RUT",19,"Rutgers",35,"@",10,"Temple",26,"TEM","Big East"
"460",482,101,47,8,"Mountain West","SDSU",26,"San Diego State",39,"@",38,"Nevada",26,"NEV","Mountain West"
"716",483,102,65,8,"Western Athletic","SJSU",26,"San Jose State",52,"@",24,"Texas-San Antonio",26,"UTSA","Western Athletic"
"200",484,103,16,8,"Sun Belt","SOBAMA",26,"South Alabama",37,"",34,"Florida Atlantic",26,"FAU","Sun Belt"
"151",485,60,121,8,"Pac-12","USC",11,"Southern California",50,"",6,"Colorado",26,"COL","Pac-12"
"119",486,18,82,8,"Pac-12","STAN",22,"Stanford",21,"@",3,"California",26,"CAL","Pac-12"
"80",487,62,74,8,"Big 12","TEX",26,"Texas",56,"",50,"Baylor",26,"BAY","Big 12"
"685",488,64,105,8,"Big 12","TTU",18,"Texas Tech",56,"@",53,"Texas Christian",26,"TCU","Big 12"
"738",489,119,131,8,"Conference USA","UT-EP",26,"Texas-El Paso",24,"",20,"Tulane",26,"TULA","Conference USA"
"139",490,106,77,8,"Mid-American","TOL",26,"Toledo",29,"",23,"Cincinnati",21,"CIN","Big East"
"215",491,66,83,8,"Sun Belt","TROY",26,"Troy",38,"",37,"Florida International",26,"FIU","Sun Belt"
"575",492,107,99,8,"Conference USA","TULSA",26,"Tulsa",28,"",24,"Rice",26,"RICE","Conference USA"
"488",493,15,11,8,"Western Athletic","UTST",26,"Utah State",41,"",7,"New Mexico State",26,"NMSU","Western Athletic"
"68",494,120,111,8,"Southeastern","VAN",26,"Vanderbilt",17,"",13,"Auburn",26,"AUB","Southeastern"
"769",495,68,67,8,"Atlantic Coast","WAKE",26,"Wake Forest",16,"@",10,"Virginia",26,"UVA","Atlantic Coast"
"421",496,72,10,8,"Big Ten","WIS",26,"Wisconsin",38,"",13,"Minnesota",26,"MINN","Big Ten"
"346",497,78,40,9,"Sun Belt","ARKST",26,"Arkansas State",50,"@",27,"Louisiana-Lafayette",26,"LA-L","Sun Belt"
"784",498,25,68,9,"Atlantic Coast","CLEM",14,"Clemson",42,"@",13,"Wake Forest",26,"WAKE","Atlantic Coast"
"457",499,21,47,9,"Mountain West","AF",26,"Air Force",48,"",31,"Nevada",26,"NEV","Mountain West"
"138",500,75,77,9,"Big East","LOU",16,"Louisville",34,"",31,"Cincinnati",26,"CIN","Big East"
"433",501,22,44,9,"Southeastern","BAMA",1,"Alabama",38,"",7,"Mississippi State",13,"MISS ST","Southeastern"
"624",502,23,60,9,"Pac-12","ARI",26,"Arizona",39,"",36,"Southern California",10,"USC","Pac-12"
"56",503,2,128,9,"Mid-American","BALL",26,"Ball State",30,"@",22,"Army",26,"ARMY","Independent"
"837",504,112,124,9,"Mountain West","BST",21,"Boise State",45,"@",14,"Wyoming",26,"WYO","Mountain West"
"368",505,79,41,9,"Atlantic Coast","BC",26,"Boston College",20,"",17,"Maryland",26,"MARY","Atlantic Coast"
"185",506,80,132,9,"Mid-American","BG",26,"Bowling Green State",24,"",3,"Eastern Michigan",26,"EMU","Mid-American"
"236",507,3,84,9,"Independent","BYU",26,"Brigham Young",41,"@",17,"Georgia Tech",26,"GT","Atlantic Coast"
"356",508,4,89,9,"Conference USA","UCF",26,"Central Florida",54,"@",17,"Marshall",26,"MAR ","Conference USA"
"17",509,5,110,9,"Mid-American","CMU",26,"Central Michigan",35,"",14,"Akron",26,"AKRON","Mid-American"
"245",510,26,114,9,"Mountain West","COLS",26,"Colorado State",42,"",27,"Hawaii",26,"HAW","Mountain West"
"728",511,16,66,9,"Sun Belt","FAU",26,"Florida Atlantic",34,"",27,"Troy",26,"TROY","Sun Belt"
"177",512,30,27,9,"Atlantic Coast","FSU",11,"Florida State",48,"",7,"Duke",26,"DUKE","Atlantic Coast"
"483",513,31,48,9,"Mountain West","FRES",26,"Fresno State",49,"@",32,"New Mexico",26,"NM","Mountain West"
"198",514,32,29,9,"Southeastern","UGA",12,"Georgia",17,"",9,"Florida",3,"UF","Southeastern"
"704",515,125,119,9,"Conference USA","HOU",26,"Houston",45,"",35,"Texas-El Paso",26,"UT-EP","Conference USA"
"271",516,34,33,9,"Big Ten","IND",26,"Indiana",31,"@",17,"Illinois",26,"IL","Big Ten"
"81",517,36,74,9,"Big 12","ISU",26,"Iowa State",35,"",21,"Baylor",26,"BAY","Big 12"
"700",518,38,64,9,"Big 12","KSU",4,"Kansas State",55,"",24,"Texas Tech",15,"TTU","Big 12"
"580",519,8,58,9,"Mid-American","KENT",26,"Kent State",35,"@",23,"Rutgers",18,"RUT","Big East"
"484",520,87,11,9,"Western Athletic","LTU",24,"Louisiana Tech",28,"@",14,"New Mexico State",26,"NMSU","Western Athletic"
"597",521,88,103,9,"Sun Belt","LA-M",26,"Louisiana-Monroe",38,"",24,"South Alabama",26,"SOBAMA","Sun Belt"
"533",522,90,52,9,"Mid-American","MIA-O",26,"Miami OH",23,"",20,"Ohio",23,"OHIO","Mid-American"
"826",523,17,72,9,"Big Ten","MSU",26,"Michigan State",16,"@",13,"Wisconsin",26,"WIS","Big Ten"
"518",524,92,95,9,"Sun Belt","MTSU",26,"Middle Tennessee State",38,"",21,"North Texas",26,"NTEX","Sun Belt"
"567",525,10,57,9,"Big Ten","MINN",26,"Minnesota",44,"",28,"Purdue",26,"PUR","Big Ten"
"46",526,43,24,9,"Southeastern","OLE",26,"Mississippi",30,"@",27,"Arkansas",26,"ARK","Southeastern"
"331",527,45,86,9,"Southeastern","MIZZ",26,"Missouri",33,"",10,"Kentucky",26,"UK","Southeastern"
"178",528,122,28,9,"Independent","NAVY",26,"Navy",56,"@",28,"East Carolina",26,"ECU","Conference USA"
"404",529,46,91,9,"Big Ten","NEB",26,"Nebraska",23,"",9,"Michigan",20,"MICH","Big Ten"
"508",530,49,93,9,"Atlantic Coast","UNC",26,"North Carolina",43,"",35,"North Carolina State",26,"NCST","Atlantic Coast"
"822",531,97,109,9,"Mid-American","NIU",26,"Northern Illinois",48,"@",34,"Western Michigan",26,"WMU","Mid-American"
"291",532,50,35,9,"Big Ten","NU",26,"Northwestern",28,"",17,"Iowa",26,"IOWA","Big Ten"
"537",533,51,54,9,"Independent","ND",5,"Notre Dame",30,"@",13,"Oklahoma",8,"OU","Big 12"
"549",534,53,115,9,"Big Ten","OSU",9,"Ohio State",35,"@",23,"Penn State",26,"PENN","Big Ten"
"686",535,55,105,9,"Big 12","OKST",26,"Oklahoma State",36,"",14,"Texas Christian",26,"TCU","Big 12"
"146",536,56,121,9,"Pac-12","ORE",2,"Oregon",70,"",14,"Colorado",26,"COL","Pac-12"
"663",537,116,19,9,"Big East","PITT",26,"Pittsburgh",47,"",17,"Temple",26,"TEM","Big East"
"644",538,99,153,9,"Conference USA","RICE",26,"Rice",44,"",17,"Southern Mississippi",26,"SO MISS","Conference USA"
"468",539,101,123,9,"Mountain West","SDSU",26,"San Diego State",24,"",13,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"692",540,102,63,9,"Western Athletic","SJSU",26,"San Jose State",31,"",20,"Texas State",26,"TEXST","Western Athletic"
"669",541,12,20,9,"Southeastern","SC",17,"South Carolina",38,"",35,"Tennessee",26,"TEN","Southeastern"
"387",542,104,130,9,"Conference USA","SMU",26,"Southern Methodist",44,"",13,"Memphis",26,"MEM","Conference USA"
"792",543,18,108,9,"Pac-12","STAN",19,"Stanford",24,"",17,"Washington State",26,"WSU","Pac-12"
"616",544,117,59,9,"Big East","SYR",26,"Syracuse",37,"@",36,"South Florida",26,"SFU","Big East"
"308",545,62,37,9,"Big 12","TEX",26,"Texas",21,"@",17,"Kansas",26,"KU","Big 12"
"65",546,118,111,9,"Southeastern","TAMU",22,"Texas A&M",63,"@",21,"Auburn",26,"AUB","Southeastern"
"107",547,106,81,9,"Mid-American","TOL",26,"Toledo",25,"@",20,"Buffalo",26,"BUF","Mid-American"
"23",548,131,127,9,"Conference USA","TULA",26,"Tulane",55,"",45,"Alabama-Birmingham",26,"UAB","Conference USA"
"40",549,13,1,9,"Pac-12","UCLA",26,"UCLA",45,"@",43,"Arizona State",26,"ASU","Pac-12"
"120",550,14,82,9,"Pac-12","UTAH",26,"Utah",49,"",27,"California",26,"CAL","Pac-12"
"714",551,15,65,9,"Western Athletic","UTST",26,"Utah State",48,"@",17,"Texas-San Antonio",26,"UTSA","Western Athletic"
"380",552,120,133,9,"Southeastern","VAN",26,"Vanderbilt",49,"",7,"Massachusetts",26,"UMASS","Mid-American"
"545",553,69,98,9,"Pac-12","WASH",26,"Washington",20,"",17,"Oregon State",7,"ORST","Pac-12"
"214",554,71,83,9,"Sun Belt","WKU",26,"Western Kentucky",14,"@",6,"Florida International",26,"FIU","Sun Belt"
"776",555,42,76,10,"Atlantic Coast","MIA",26,"Miami FL",30,"",12,"Virginia Tech",26,"VT","Atlantic Coast"
"812",556,92,71,10,"Sun Belt","MTSU",26,"Middle Tennessee State",34,"@",29,"Western Kentucky",26,"WKU","Sun Belt"
"192",557,52,132,10,"Mid-American","OHIO",26,"Ohio",45,"",14,"Eastern Michigan",26,"EMU","Mid-American"
"114",558,69,82,10,"Pac-12","WASH",26,"Washington",21,"@",13,"California",26,"CAL","Pac-12"
"337",559,22,39,10,"Southeastern","BAMA",1,"Alabama",21,"@",17,"Louisiana State",5,"LSU","Southeastern"
"643",560,127,153,10,"Conference USA","UAB",26,"Alabama-Birmingham",27,"@",19,"Southern Mississippi",26,"SO MISS","Conference USA"
"740",561,24,107,10,"Southeastern","ARK",26,"Arkansas",19,"",15,"Tulsa",26,"TULSA","Conference USA"
"515",562,78,95,10,"Sun Belt","ARKST",26,"Arkansas State",37,"@",19,"North Texas",26,"NTEX","Sun Belt"
"7",563,128,21,10,"Independent","ARMY",26,"Army",41,"",21,"Air Force",26,"AF","Mountain West"
"494",564,111,11,10,"Southeastern","AUB",26,"Auburn",42,"",7,"New Mexico State",26,"NMSU","Western Athletic"
"313",565,74,37,10,"Big 12","BAY",26,"Baylor",41,"",14,"Kansas",26,"KU","Big 12"
"397",566,81,90,10,"Mid-American","BUF",26,"Buffalo",27,"",24,"Miami OH",26,"MIA-O","Mid-American"
"633",567,4,104,10,"Conference USA","UCF",26,"Central Florida",42,"",17,"Southern Methodist",26,"SMU","Conference USA"
"659",568,77,117,10,"Big East","CIN",26,"Cincinnati",35,"",24,"Syracuse",26,"SYR","Big East"
"174",569,25,27,10,"Atlantic Coast","CLEM",10,"Clemson",56,"@",20,"Duke",26,"DUKE","Atlantic Coast"
"250",570,28,125,10,"Conference USA","ECU",26,"East Carolina",48,"",28,"Houston",26,"HOU","Conference USA"
"438",571,29,45,10,"Southeastern","UF",8,"Florida",14,"",7,"Missouri",26,"MIZZ","Southeastern"
"604",572,83,103,10,"Sun Belt","FIU",26,"Florida International",28,"@",20,"South Alabama",26,"SOBAMA","Sun Belt"
"241",573,31,114,10,"Mountain West","FRES",26,"Fresno State",45,"",10,"Hawaii",26,"HAW","Mountain West"
"429",574,32,43,10,"Southeastern","UGA",7,"Georgia",37,"",10,"Mississippi",26,"OLE","Southeastern"
"364",575,84,41,10,"Atlantic Coast","GT",26,"Georgia Tech",33,"@",13,"Maryland",26,"MARY","Atlantic Coast"
"295",576,34,35,10,"Big Ten","IND",26,"Indiana",24,"",21,"Iowa",26,"IOWA","Big Ten"
"542",577,38,55,10,"Big 12","KSU",3,"Kansas State",44,"",30,"Oklahoma State",26,"OKST","Big 12"
"8",578,8,110,10,"Mid-American","KENT",26,"Kent State",35,"",24,"Akron",26,"AKRON","Mid-American"
"715",579,87,65,10,"Western Athletic","LTU",22,"Louisiana Tech",51,"",27,"Texas-San Antonio",26,"UTSA","Western Athletic"
"351",580,40,88,10,"Sun Belt","LA-L",26,"Louisiana-Lafayette",40,"@",24,"Louisiana-Monroe",26,"LA-M","Sun Belt"
"662",581,75,19,10,"Big East","LOU",12,"Louisville",45,"",17,"Temple",26,"TEM","Big East"
"385",582,89,130,10,"Conference USA","MAR ",26,"Marshall",38,"",28,"Memphis",26,"MEM","Conference USA"
"418",583,91,10,10,"Big Ten","MICH",26,"Michigan",35,"@",13,"Minnesota",26,"MINN","Big Ten"
"208",584,122,16,10,"Independent","NAVY",26,"Navy",24,"",17,"Florida Atlantic",26,"FAU","Sun Belt"
"409",585,46,17,10,"Big Ten","NEB",21,"Nebraska",28,"@",24,"Michigan State",26,"MSU","Big Ten"
"475",586,123,48,10,"Mountain West","UNLV",26,"Nevada-Las Vegas",35,"",7,"New Mexico",26,"NM","Mountain West"
"379",587,97,133,10,"Mid-American","NIU",26,"Northern Illinois",63,"",0,"Massachusetts",26,"UMASS","Mid-American"
"553",588,51,116,10,"Independent","ND",4,"Notre Dame",29,"",26,"Pittsburgh",26,"PITT","Big East"
"276",589,53,33,10,"Big Ten","OSU",6,"Ohio State",52,"",22,"Illinois",26,"IL","Big Ten"
"298",590,54,36,10,"Big 12","OU",14,"Oklahoma",35,"@",20,"Iowa State",26,"ISU","Big 12"
"626",591,56,60,10,"Pac-12","ORE",2,"Oregon",62,"@",51,"Southern California",18,"USC","Pac-12"
"38",592,98,1,10,"Pac-12","ORST",13,"Oregon State",36,"",26,"Arizona State",26,"ASU","Pac-12"
"568",593,115,57,10,"Big Ten","PENN",26,"Penn State",34,"@",9,"Purdue",26,"PUR","Big Ten"
"739",594,99,131,10,"Conference USA","RICE",26,"Rice",49,"@",47,"Tulane",26,"TULA","Conference USA"
"85",595,101,112,10,"Mountain West","SDSU",26,"San Diego State",21,"@",19,"Boise State",19,"BST","Mountain West"
"257",596,102,129,10,"Western Athletic","SJSU",26,"San Jose State",42,"@",13,"Idaho",26,"ID","Western Athletic"
"168",597,59,6,10,"Big East","SFU",26,"South Florida",13,"",6,"Connecticut",26,"UCONN","Big East"
"153",598,18,121,10,"Pac-12","STAN",15,"Stanford",48,"@",0,"Colorado",26,"COL","Pac-12"
"729",599,20,66,10,"Southeastern","TEN",26,"Tennessee",55,"",48,"Troy",26,"TROY","Sun Belt"
"701",600,62,64,10,"Big 12","TEX",26,"Texas",31,"@",22,"Texas Tech",20,"TTU","Big 12"
"431",601,118,44,10,"Southeastern","TAMU",16,"Texas A&M",38,"@",13,"Mississippi State",17,"MISS ST","Southeastern"
"806",602,105,70,10,"Big 12","TCU",26,"Texas Christian",39,"@",38,"West Virginia",23,"WV","Big 12"
"34",603,13,23,10,"Pac-12","UCLA",25,"UCLA",66,"",10,"Arizona",24,"ARI","Pac-12"
"798",604,14,108,10,"Pac-12","UTAH",26,"Utah",49,"",6,"Washington State",26,"WSU","Pac-12"
"693",605,15,63,10,"Western Athletic","UTST",26,"Utah State",38,"",7,"Texas State",26,"TEXST","Western Athletic"
"328",606,120,86,10,"Southeastern","VAN",26,"Vanderbilt",40,"@",0,"Kentucky",26,"UK","Southeastern"
"507",607,67,93,10,"Atlantic Coast","UVA",26,"Virginia",33,"@",6,"North Carolina State",26,"NCST","Atlantic Coast"
"95",608,68,79,10,"Atlantic Coast","WAKE",26,"Wake Forest",28,"",14,"Boston College",26,"BC","Atlantic Coast"
"134",609,109,5,10,"Mid-American","WMU",26,"Western Michigan",42,"@",31,"Central Michigan",26,"CMU","Mid-American"
"158",610,124,26,10,"Mountain West","WYO",26,"Wyoming",45,"",31,"Colorado State",26,"COLS","Mountain West"
"717",611,2,106,11,"Mid-American","BALL",26,"Ball State",34,"@",27,"Toledo",23,"TOL","Mid-American"
"534",612,80,52,11,"Mid-American","BG",26,"Bowling Green State",26,"@",14,"Ohio",26,"OHIO","Mid-American"
"347",613,78,88,11,"Sun Belt","ARKST",26,"Arkansas State",45,"",23,"Louisiana-Monroe",26,"LA-M","Sun Belt"
"773",614,30,76,11,"Atlantic Coast","FSU",8,"Florida State",28,"@",22,"Virginia Tech",26,"VT","Atlantic Coast"
"554",615,6,116,11,"Big East","UCONN",26,"Connecticut",24,"",17,"Pittsburgh",26,"PITT","Big East"
"359",616,127,89,11,"Conference USA","UAB",26,"Alabama-Birmingham",38,"",31,"Marshall",26,"MAR ","Conference USA"
"154",617,23,121,11,"Pac-12","ARI",26,"Arizona",56,"",31,"Colorado",26,"COL","Pac-12"
"240",618,112,114,11,"Mountain West","BST",26,"Boise State",49,"@",14,"Hawaii",26,"HAW","Mountain West"
"267",619,3,129,11,"Independent","BYU",26,"Brigham Young",52,"",13,"Idaho",26,"ID","Western Athletic"
"817",620,81,109,11,"Mid-American","BUF",26,"Buffalo",29,"",24,"Western Michigan",26,"WMU","Mid-American"
"709",621,4,119,11,"Conference USA","UCF",26,"Central Florida",31,"@",24,"Texas-El Paso",26,"UT-EP","Conference USA"
"188",622,5,132,11,"Mid-American","CMU",26,"Central Michigan",34,"@",31,"Eastern Michigan",26,"EMU","Mid-American"
"661",623,77,19,11,"Big East","CIN",26,"Cincinnati",34,"@",10,"Temple",26,"TEM","Big East"
"366",624,25,41,11,"Atlantic Coast","CLEM",10,"Clemson",45,"",10,"Maryland",26,"MARY","Atlantic Coast"
"467",625,26,123,11,"Mountain West","COLS",26,"Colorado State",33,"",11,"Nevada-Las Vegas",26,"UNLV","Mountain West"
"345",626,29,40,11,"Southeastern","UF",7,"Florida",27,"",20,"Louisiana-Lafayette",26,"LA-L","Sun Belt"
"813",627,16,71,11,"Sun Belt","FAU",26,"Florida Atlantic",37,"@",28,"Western Kentucky",26,"WKU","Sun Belt"
"461",628,31,47,11,"Mountain West","FRES",26,"Fresno State",52,"@",36,"Nevada",26,"NEV","Mountain West"
"69",629,32,111,11,"Southeastern","UGA",5,"Georgia",38,"@",0,"Auburn",26,"AUB","Southeastern"
"502",630,84,49,11,"Atlantic Coast","GT",26,"Georgia Tech",68,"@",50,"North Carolina",26,"UNC","Atlantic Coast"
